R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,weight_dif
Kyle Kingsbury,Glover Teixeira,5/26/2012,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,205,0,41.5,0.47,0.0,2.67,0.23,2,16,0,0,1,2,1,0,0,4,Orthodox,193.04,193.04,205,30,32,1,0,-4,-4,2,-16,0,-1,0,-5.08,0.0,-2,-41.5,0.0,-2.67,neither,SUB,Arm Triangle,1.0,1:53,113.0,0
Mike Brown,Daniel Pineda,5/26/2012,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,16.5,0.72,1.5,0.5,0.5,0,2,0,0,0,0,0,2,0,2,Orthodox,170.18,175.26,145,0,39.0,0.6,0.0,2.75,0.51,3,10,0,0,0,1,0,0,0,1,Orthodox,167.64,177.8,145,36,26,0,1,1,1,3,-8,0,0,2,2.54,-2.54,10,-22.5,1.5,-2.25,neither,U-DEC,blank,3.0,5:00,900.0,0
Chan Sung Jung,Dustin Poirier,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Featherweight,MALE,5,0,45.5,0.46,1.0,1.75,0.47,0,9,0,0,0,2,0,2,0,4,Southpaw,175.26,182.88,155,0,18.0,0.45,0.5,0.5,0.25,0,3,0,0,0,0,1,1,0,2,Orthodox,170.18,182.88,145,25,23,0,2,2,2,0,6,0,-1,1,5.08,0.0,2,27.5,0.5,1.25,neither,SUB,D'Arce Choke,4.0,1:07,967.0,-10
Amir Sadollah,Jorge Lopez,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Welterweight,MALE,3,0,42.0,0.66,0.0,3.0,1.0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,170,0,60.25,0.42,0.25,0.5,0.25,3,19,1,0,0,3,1,1,0,5,Orthodox,177.8,187.96,170,31,23,0,0,-2,-5,2,-16,-1,-1,-1,0.0,-4.96,8,-18.25,-0.25,2.5,neither,S-DEC,blank,3.0,5:00,900.0,0
Donald Cerrone,Jeremy Stephens,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Lightweight,MALE,3,0,31.69,0.45,0.62,1.38,0.4,6,34,0,0,1,2,3,0,1,7,Orthodox,172.72,180.34,145,0,51.6,0.5,0.4,0.6,0.15,1,10,0,0,0,1,1,2,0,4,Orthodox,185.42,185.42,155,29,25,0,0,-2,3,-5,24,0,3,-2,-12.7,-5.08,4,-19.91,0.22,0.78,neither,U-DEC,blank,3.0,5:00,900.0,10
Yves Jabouin,Jeff Hougland,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Bantamweight,MALE,3,0,61.0,0.52,4.0,1.0,0.2,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,135,0,28.67,0.38,0.0,1.33,0.22,1,7,0,0,2,0,0,0,0,2,Orthodox,170.18,172.72,135,32,33,0,-1,-1,-1,1,-4,0,0,0,0.0,0.0,-1,32.33,4.0,-0.33,neither,U-DEC,blank,3.0,5:00,900.0,0
Igor Pokrajac,Fabio Maldonado,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Light Heavyweight,MALE,3,0,83.5,0.63,2.0,1.0,0.5,1,6,0,0,0,0,1,0,0,1,Orthodox,185.42,190.5,205,0,20.17,0.48,0.17,0.83,0.28,3,12,0,0,0,0,2,1,0,3,Orthodox,182.88,193.04,205,33,32,-1,-2,-1,-2,2,-6,0,-1,-1,2.54,-2.54,1,63.33,1.83,0.17,neither,U-DEC,blank,3.0,5:00,900.0,0
Jason MacDonald,Tom Lawlor,5/15/2012,"Fairfax, Virginia, USA",USA,Blue,False,Middleweight,MALE,3,0,26.5,0.4,1.0,2.17,0.23,3,13,0,0,0,2,0,1,0,3,Southpaw,182.88,187.96,205,0,9.92,0.54,0.85,0.62,0.18,7,22,0,0,0,0,2,4,0,6,Orthodox,190.5,203.2,185,36,29,0,0,0,-3,4,-9,0,-2,-3,-7.62,-15.24,7,16.58,0.15,1.55,neither,KO/TKO,Punch,1.0,0:50,50.0,-20
Brad Tavares,Dongi Yang,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Middleweight,MALE,3,0,52.67,0.56,0.67,1.67,0.7,2,8,0,0,0,0,1,0,0,1,Southpaw,177.8,180.34,185,0,17.67,0.54,0.0,1.33,0.25,1,7,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,185,24,27,0,0,-1,-1,-1,1,0,0,0,-7.62,-7.62,-3,35.0,0.67,0.33,neither,U-DEC,blank,3.0,5:00,900.0,0
Cody McKenzie,Marcus LeVesseur,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Lightweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,155,0,10.33,0.19,1.0,1.0,0.41,2,5,0,0,0,0,0,1,0,1,Switch,182.88,182.88,155,24,29,2,0,-1,-1,2,-5,0,0,-1,-7.62,-5.08,-5,-10.33,-1.0,-1.0,neither,SUB,Guillotine Choke,1.0,3:05,185.0,0
TJ Grant,Carlo Prater,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Lightweight,MALE,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,Switch,180.34,182.88,155,0,28.29,0.49,0.57,1.57,0.42,3,19,0,0,1,1,1,1,0,4,Orthodox,177.8,182.88,155,28,30,0,0,0,-3,3,-18,0,-1,-1,2.54,0.0,-2,-28.29,-0.57,-1.57,neither,U-DEC,blank,3.0,5:00,900.0,0
Rafael Dos Anjos,Kamal Shalorus,5/15/2012,"Fairfax, Virginia, USA",USA,Red,False,Lightweight,MALE,3,0,19.5,0.24,0.0,0.5,0.17,2,6,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,155,0,24.75,0.33,1.0,1.75,0.29,4,21,0,0,0,2,1,1,0,4,Southpaw,172.72,177.8,170,27,39,-1,0,-3,-4,2,-15,0,-1,-1,0.0,-5.08,-12,-5.25,-1.0,-1.25,neither,SUB,Rear Naked Choke,1.0,1:40,100.0,15
Jeff Curran,Johnny Eduardo,5/15/2012,"Fairfax, Virginia, USA",USA,Blue,False,Bantamweight,MALE,3,0,28.0,0.32,1.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,135,0,25.0,0.46,1.0,0.0,0.0,2,6,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,34,33,1,0,0,0,1,-3,0,0,0,2.54,5.08,1,3.0,0.0,0.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Alex Soto,Francisco Rivera,5/15/2012,"Fairfax, Virginia, USA",USA,Blue,False,Bantamweight,MALE,3,0,22.0,0.57,3.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,0,6.0,0.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,135,28,30,0,0,0,0,0,2,0,0,0,0.0,-7.62,-2,16.0,3.0,0.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Nate Diaz,Jim Miller,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Lightweight,MALE,5,0,24.0,0.33,2.25,1.58,0.43,2,29,0,0,0,4,2,4,0,10,Southpaw,172.72,180.34,155,0,44.73,0.43,1.2,0.93,0.37,5,34,1,0,1,1,1,7,0,10,Southpaw,182.88,193.04,170,27,28,0,-1,2,0,3,-5,-1,1,-3,-10.16,-12.7,-1,-20.73,1.05,0.65,neither,SUB,Guillotine Choke,2.0,4:09,549.0,15
Josh Koscheck,Johny Hendricks,5/5/2012,"East Rutherford, New Jersey, USA",USA,Blue,False,Welterweight,MALE,3,0,28.0,0.64,0.62,2.75,0.27,1,17,0,1,1,1,4,0,0,7,Southpaw,175.26,175.26,185,0,18.85,0.4,0.35,1.8,0.51,5,44,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,34,28,0,1,-1,-8,4,-27,-1,-2,-3,-2.54,-10.16,6,9.15,0.28,0.95,neither,S-DEC,blank,3.0,5:00,900.0,-15
Rousimar Palhares,Alan Belcher,5/5/2012,"East Rutherford, New Jersey, USA",USA,Blue,False,Middleweight,MALE,3,0,26.42,0.42,0.42,0.33,0.22,4,24,0,0,1,0,3,3,1,8,Orthodox,187.96,185.42,185,0,13.89,0.36,1.44,1.44,0.37,2,17,0,0,0,2,0,5,0,7,Orthodox,172.72,180.34,170,32,28,0,0,0,1,-2,7,0,4,-2,15.24,5.08,4,12.53,-1.03,-1.11,neither,KO/TKO,Punches,1.0,4:18,258.0,-15
Pat Barry,Lavar Johnson,5/5/2012,"East Rutherford, New Jersey, USA",USA,Blue,False,Heavyweight,MALE,3,0,65.0,0.7,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,Orthodox,193.04,208.28,240,0,19.88,0.52,0.0,0.0,0.0,4,14,0,0,0,1,3,0,0,4,Orthodox,180.34,187.96,235,32,34,0,0,0,-3,4,-13,0,-2,0,12.7,20.32,-2,45.12,0.0,0.0,neither,KO/TKO,Punches,1.0,4:38,278.0,-5
Tony Ferguson,Michael Johnson,5/5/2012,"East Rutherford, New Jersey, USA",USA,Blue,False,Lightweight,MALE,3,0,32.25,0.4,0.0,0.5,0.5,2,8,1,0,0,1,1,0,0,2,Southpaw,177.8,185.42,145,0,37.67,0.39,0.33,1.0,0.55,0,5,1,0,0,1,1,0,1,3,Orthodox,180.34,193.04,155,28,25,0,-2,-2,-1,-2,3,0,-1,0,-2.54,-7.62,3,-5.42,-0.33,-0.5,neither,U-DEC,blank,3.0,5:00,900.0,10
John Dodson,Tim Elliott,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Flyweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,167.64,135,0,7.0,0.29,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,1,Orthodox,160.02,167.64,135,27,25,0,-1,-1,-1,0,-1,-1,-1,0,10.16,0.0,2,-7.0,0.0,0.0,neither,U-DEC,blank,3.0,5:00,900.0,0
John Hathaway,Pascal Krauss,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Welterweight,MALE,3,0,50.0,0.51,2.0,3.0,0.75,0,3,0,0,0,1,0,0,0,1,Orthodox,185.42,182.88,170,0,45.67,0.43,1.17,2.83,0.41,1,16,0,0,1,3,1,0,0,5,Orthodox,185.42,190.5,170,24,25,0,0,-3,-4,1,-13,0,-1,0,0.0,-7.62,-1,4.33,0.83,0.17,neither,U-DEC,blank,3.0,5:00,900.0,0
Louis Gaudinot,John Lineker,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Flyweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,170.18,135,0,6.0,0.2,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,125,27,21,1,0,0,0,1,-3,0,0,0,0.0,10.16,6,-6.0,0.0,0.0,neither,SUB,Guillotine Choke,2.0,4:54,594.0,-10
Danny Castillo,John Cholish,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Lightweight,MALE,3,0,55.0,0.68,0.0,1.0,0.16,0,2,0,0,0,0,1,0,0,1,Orthodox,180.34,182.88,155,0,33.0,0.59,0.0,3.75,0.51,1,10,0,0,1,1,1,0,0,3,Orthodox,175.26,180.34,155,32,28,0,-1,-1,-2,1,-8,0,0,0,5.08,2.54,4,22.0,0.0,-2.75,neither,U-DEC,blank,3.0,5:00,900.0,0
Dennis Bermudez,Pablo Garza,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Featherweight,MALE,3,0,14.33,0.46,0.67,0.0,0.0,1,4,0,0,0,0,1,1,0,2,Orthodox,185.42,185.42,145,0,25.0,0.32,0.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,Orthodox,167.64,167.64,155,25,28,0,0,2,2,0,3,-1,1,1,17.78,17.78,-3,-10.67,0.67,-1.0,neither,U-DEC,blank,3.0,5:00,900.0,10
Roland Delorme,Nick Denis,5/5/2012,"East Rutherford, New Jersey, USA",USA,Red,False,Bantamweight,MALE,3,0,11.0,0.47,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,Orthodox,170.18,178.0,135,0,36.0,0.67,2.0,2.0,0.4,0,3,0,0,0,0,0,1,0,1,Orthodox,175.26,180.34,135,28,28,0,0,0,0,0,-2,0,1,-1,-5.08,-2.34,0,-25.0,-2.0,-2.0,neither,SUB,Rear Naked Choke,1.0,4:59,299.0,0
Mike Massenzio,Karlos Vemola,5/5/2012,"East Rutherford, New Jersey, USA",USA,Blue,False,Middleweight,MALE,3,0,14.0,0.38,0.67,0.67,0.33,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,190.5,185,0,17.17,0.31,0.83,1.5,0.29,4,12,0,0,0,1,0,1,0,2,Southpaw,187.96,185.42,185,29,26,0,0,0,-1,2,-5,0,1,-1,-5.08,5.08,3,-3.17,-0.17,-0.83,neither,SUB,Rear Naked Choke,2.0,1:07,367.0,0
Jon Jones,Rashad Evans,4/21/2012,"Atlanta, Georgia, USA",USA,Red,True,Light Heavyweight,MALE,5,0,27.5,0.38,0.0,3.43,0.46,2,39,3,1,3,3,5,0,0,12,Orthodox,182.88,190.5,205,0,36.2,0.56,0.7,2.1,0.66,1,22,3,0,0,2,3,4,0,9,Orthodox,193.04,213.36,205,24,32,0,-2,-1,3,-1,17,0,2,-4,-10.16,-22.86,-8,-8.7,-0.7,1.33,neither,U-DEC,blank,5.0,5:00,1500.0,0
Rory MacDonald,Che Mills,4/21/2012,"Atlanta, Georgia, USA",USA,Red,False,Welterweight,MALE,3,0,11.0,0.68,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,Orthodox,185.42,193.04,170,0,25.75,0.47,1.0,3.0,0.43,1,8,0,0,0,1,1,1,0,3,Orthodox,182.88,193.04,170,22,29,0,-1,-1,-2,1,-7,0,0,-1,2.54,0.0,-7,-14.75,-1.0,-3.0,neither,KO/TKO,Punches,2.0,2:20,440.0,0
Brendan Schaub,Ben Rothwell,4/21/2012,"Atlanta, Georgia, USA",USA,Blue,False,Heavyweight,MALE,3,0,22.0,0.38,0.67,2.33,0.28,2,8,0,0,0,1,0,0,0,1,Orthodox,193.04,198.12,265,0,25.17,0.46,0.0,0.67,0.08,2,10,1,0,0,1,3,0,0,4,Orthodox,193.04,198.12,245,29,30,0,0,-3,-3,0,-2,-1,-3,0,0.0,0.0,-1,-3.17,0.67,1.67,neither,KO/TKO,Punch,1.0,1:10,70.0,-20
Miguel Torres,Michael McDonald,4/21/2012,"Atlanta, Georgia, USA",USA,Blue,False,Bantamweight,MALE,3,0,31.67,0.48,1.0,2.0,0.5,0,7,0,0,1,1,1,0,0,3,Orthodox,175.26,177.8,135,0,49.0,0.47,1.0,0.0,0.0,1,9,0,0,0,2,0,0,0,2,Orthodox,175.26,193.04,135,31,21,0,2,2,1,1,-2,0,1,0,0.0,-15.24,10,-17.33,0.0,2.0,neither,KO/TKO,Punch,1.0,3:18,198.0,0
Mark Hominick,Eddie Yagin,4/21/2012,"Atlanta, Georgia, USA",USA,Blue,False,Featherweight,MALE,3,0,10.0,0.38,2.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,175.0,145,0,29.0,0.32,0.2,0.2,0.1,2,12,1,0,0,1,1,1,0,3,Orthodox,172.72,172.72,145,29,33,1,0,-3,-3,1,-9,-1,-1,-1,-2.54,2.28,-4,-19.0,1.8,-0.2,neither,S-DEC,blank,3.0,5:00,900.0,0
Mark Bocek,John Alessio,4/21/2012,"Atlanta, Georgia, USA",USA,Red,False,Lightweight,MALE,3,0,10.33,0.31,1.0,0.67,0.07,3,8,1,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,0,18.4,0.39,1.2,2.8,0.58,4,22,0,0,0,2,0,4,0,6,Orthodox,172.72,190.5,155,30,32,-3,-1,-3,-6,1,-14,1,0,-4,5.08,-7.62,-2,-8.07,-0.2,-2.13,neither,U-DEC,blank,3.0,5:00,900.0,0
Travis Browne,Chad Griggs,4/21/2012,"Atlanta, Georgia, USA",USA,Red,False,Heavyweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,205,0,25.75,0.42,0.25,1.5,0.67,1,8,0,0,0,1,2,0,0,3,Orthodox,198.12,200.66,255,29,33,0,-2,-2,-3,1,-8,0,-2,0,-12.7,-15.24,-4,-25.75,-0.25,-1.5,neither,SUB,Arm Triangle,1.0,2:29,149.0,50
Matt Brown,Stephen Thompson,4/21/2012,"Atlanta, Georgia, USA",USA,Red,False,Welterweight,MALE,3,0,22.0,0.57,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,190.5,170,0,28.45,0.6,1.27,0.82,0.46,5,24,0,0,0,1,4,1,0,6,Orthodox,182.88,190.5,170,31,29,0,0,-2,-5,5,-23,0,-3,-1,0.0,0.0,2,-6.45,-1.27,-0.82,neither,U-DEC,blank,3.0,5:00,900.0,0
John Makdessi,Anthony Njokuani,4/21/2012,"Atlanta, Georgia, USA",USA,Blue,False,Lightweight,MALE,3,0,77.33,0.45,0.33,1.0,0.55,2,9,0,0,0,1,0,0,0,1,Orthodox,185.42,190.5,155,0,41.33,0.36,0.0,0.0,0.0,1,7,0,0,0,1,1,0,0,2,Orthodox,172.72,172.72,155,26,32,0,0,-1,-1,-1,2,0,-1,0,12.7,17.78,-6,36.0,0.33,1.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Mac Danzig,Efrain Escudero,4/21/2012,"Atlanta, Georgia, USA",USA,Red,False,Lightweight,MALE,3,0,24.5,0.36,1.0,1.33,0.31,3,16,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,0,31.78,0.49,0.56,1.0,0.41,5,20,1,0,0,1,1,2,0,4,Orthodox,172.72,177.8,155,32,26,-1,0,0,-1,2,-4,0,0,-2,2.54,0.0,6,-7.28,0.44,0.33,neither,U-DEC,blank,3.0,5:00,900.0,0
Keith Wisniewski,Chris Clements,4/21/2012,"Atlanta, Georgia, USA",USA,Blue,False,Welterweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,170,0,27.5,0.42,0.0,1.5,0.3,2,5,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,30,36,2,0,0,0,2,-5,0,0,0,-5.08,-12.7,-6,-27.5,0.0,-1.5,neither,S-DEC,blank,3.0,5:00,900.0,0
Marcus Brimage,Maximo Blanco,4/21/2012,"Atlanta, Georgia, USA",USA,Red,False,Featherweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,145,0,88.0,0.44,0.0,1.0,1.0,0,3,0,0,0,1,0,0,0,1,Southpaw,162.56,180.34,135,27,28,0,-1,-1,-1,0,-3,0,0,0,10.16,0.0,-1,-88.0,0.0,-1.0,neither,S-DEC,blank,3.0,5:00,900.0,-10
Alexander Gustafsson,Thiago Silva,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Light Heavyweight,MALE,3,0,22.38,0.57,0.38,0.62,0.31,3,13,0,0,0,0,5,0,0,5,Orthodox,187.96,187.96,205,0,14.17,0.34,0.83,0.5,0.19,1,8,0,0,0,0,3,2,0,5,Orthodox,195.58,200.66,205,25,29,-2,-4,0,0,-2,5,0,2,-2,-7.62,-12.7,-4,8.21,-0.46,0.12,neither,U-DEC,blank,3.0,5:00,900.0,0
Brian Stann,Alessio Sakara,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Middleweight,MALE,3,0,20.67,0.45,0.0,0.83,0.12,6,19,0,0,1,1,4,0,0,6,Orthodox,182.88,182.88,185,0,26.88,0.41,0.38,0.0,0.0,3,18,0,0,0,2,2,1,0,5,Orthodox,185.42,187.96,205,31,30,0,0,0,1,-3,1,0,2,-1,-2.54,-5.08,1,-6.21,-0.38,0.83,neither,KO/TKO,Punch,1.0,2:26,146.0,20
Paulo Thiago,Siyar Bahadurzada,4/14/2012,"Stockholm, Sweden",Sweden,Blue,False,Welterweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,0,17.57,0.38,1.71,1.43,0.28,3,18,0,0,0,2,1,1,0,4,Orthodox,180.34,185.42,170,31,27,0,-1,-2,-4,3,-18,0,-1,-1,0.0,0.0,4,-17.57,-1.71,-1.43,neither,KO/TKO,Punch,1.0,0:42,42.0,0
Dennis Siver,Diego Nunes,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Featherweight,MALE,3,0,46.0,0.44,0.0,0.67,0.33,1,9,0,0,1,1,0,0,0,2,Orthodox,167.64,170.18,145,0,31.0,0.33,0.23,0.38,0.22,5,27,0,0,0,3,3,2,0,8,Orthodox,167.64,177.8,145,33,29,1,1,-3,-6,4,-18,0,-3,-2,0.0,-7.62,4,15.0,-0.23,0.28,neither,U-DEC,blank,3.0,5:00,900.0,0
DaMarques Johnson,John Maguire,4/14/2012,"Stockholm, Sweden",Sweden,Blue,False,Welterweight,MALE,3,0,27.0,0.71,2.0,6.0,0.66,0,3,0,0,0,1,0,0,0,1,Southpaw,175.26,175.26,155,0,14.43,0.4,0.29,0.43,0.21,3,11,1,0,0,0,2,2,0,4,Orthodox,185.42,190.5,170,29,28,0,0,-1,-3,3,-8,-1,-2,-2,-10.16,-15.24,1,12.57,1.71,5.57,neither,SUB,Armbar,2.0,4:40,580.0,15
Brad Pickett,Damacio Page,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Bantamweight,MALE,3,0,17.0,0.34,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,135,0,10.0,0.17,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,33,29,0,0,0,0,0,0,0,0,0,0.0,-5.08,4,7.0,0.0,0.0,neither,SUB,Rear Naked Choke,2.0,4:05,545.0,0
Papy Abedi,James Head,4/14/2012,"Stockholm, Sweden",Sweden,Blue,False,Welterweight,MALE,3,0,30.0,0.53,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,0,14.0,0.36,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Southpaw,180.34,187.96,185,33,28,0,0,0,0,0,2,0,0,0,5.08,-2.54,5,16.0,0.0,0.0,neither,SUB,Rear Naked Choke,1.0,4:33,273.0,15
Cyrille Diabate,Tom DeBlass,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Light Heavyweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,185,0,47.75,0.62,0.0,0.25,0.25,2,8,0,0,0,1,1,0,0,2,Southpaw,198.12,205.74,205,38,29,1,0,-1,-2,2,-8,0,-1,0,-15.24,-15.24,9,-47.75,0.0,-0.25,neither,M-DEC,blank,3.0,5:00,900.0,20
Francis Carmont,Magnus Cedenblad,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Middleweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,200.66,185,0,51.0,0.68,0.0,3.0,0.5,0,3,0,0,0,1,0,0,0,1,Orthodox,190.5,198.12,205,30,30,0,-1,-1,-1,0,-3,0,0,0,5.08,2.54,0,-51.0,0.0,-3.0,neither,SUB,Rear Naked Choke,2.0,1:42,402.0,20
Reza Madadi,Yoislandy Izquierdo,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Lightweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,184.0,155,0,27.4,0.45,0.52,1.34,0.33,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,155,33,28,0,0,0,0,0,0,0,0,0,0.0,1.12,5,0.0,0.0,0.0,neither,SUB,Guillotine Choke,2.0,1:28,388.0,0
Simeon Thoresen,Besam Yousef,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Welterweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,170,0,27.4,0.45,0.52,1.34,0.33,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,200.66,170,28,27,0,0,0,0,0,0,0,0,0,-5.08,-20.32,1,0.0,0.0,0.0,neither,SUB,Rear Naked Choke,2.0,2:36,456.0,0
Jason Young,Eric Wisely,4/14/2012,"Stockholm, Sweden",Sweden,Red,False,Featherweight,MALE,3,0,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Southpaw,172.72,178.0,145,0,44.5,0.31,0.0,1.0,0.33,2,6,0,0,0,0,0,0,0,0,Orthodox,175.26,185.42,145,25,27,1,0,0,0,1,-5,0,0,0,-2.54,-7.42,-2,-42.5,0.0,-1.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Thiago Alves,Martin Kampmann,3/2/2012,"Sydney, New South Wales, Australia",Australia,Blue,False,Welterweight,MALE,3,0,30.69,0.44,1.54,0.92,0.36,4,26,0,0,2,2,1,4,0,9,Orthodox,182.88,182.88,170,0,32.06,0.47,0.31,0.56,0.33,5,37,1,0,0,3,6,1,1,11,Orthodox,175.26,177.8,170,28,29,0,0,-3,-2,1,-11,-1,-6,3,7.62,5.08,-1,-1.37,1.23,0.36,neither,SUB,Guillotine Choke,3.0,4:12,852.0,0
Joseph Benavidez,Yasuhiro Urushitani,3/2/2012,"Sydney, New South Wales, Australia",Australia,Red,False,Flyweight,MALE,4,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,170.0,125,0,57.0,0.42,0.0,2.5,0.14,0,6,0,0,0,2,0,0,0,2,Southpaw,162.56,165.1,125,27,35,0,-2,-2,-2,0,-6,0,0,0,2.54,4.9,-8,-57.0,0.0,-2.5,neither,KO/TKO,Punch,2.0,0:11,311.0,0
